Item,Year,Value,Economy
Total CO2 Emission,1990,251.69674377824725,01_AUS
,1990,,01_AUS
1. CO2 Emission by Energy,1990,251.69674377824725,01_AUS
1.1 Coal & Coal Products,1990,131.99722040912584,01_AUS
1.2 Crude Oil & Petroleum Products,1990,86.33142801756375,01_AUS
1.3 Gas,1990,33.368095351557635,01_AUS
,1990,,01_AUS
2. CO2 Emission by Sector,1990,251.69674377824725,01_AUS
2.1 Transformation Sector,1990,141.9728735811883,01_AUS
2.1.1 Main Activity Producer,1990,129.09660814965153,01_AUS
2.1.2 Autoproducers,1990,0.0,01_AUS
2.1.3 Gas Processing,1990,4.1883103332451155,01_AUS
2.1.4 Loss & Own Use,1990,8.687955098291672,01_AUS
,1990,,01_AUS
2.2 Final Energy Consumption Sector,1990,109.7238701970589,01_AUS
2.2.1 Industry Sector,1990,36.727118631108205,01_AUS
2.2.2 Transport Sector,1990,59.553903091218665,01_AUS
2.2.3 Residential & Commercial,1990,9.61243165275187,01_AUS
2.2.4 Other,1990,3.8304168219801893,01_AUS
Total CO2 Emission,1991,253.9515296038588,01_AUS
,1991,,01_AUS
1. CO2 Emission by Energy,1991,253.9515296038588,01_AUS
1.1 Coal & Coal Products,1991,136.53928880505916,01_AUS
1.2 Crude Oil & Petroleum Products,1991,85.73544821749806,01_AUS
1.3 Gas,1991,31.676792581301562,01_AUS
,1991,,01_AUS
2. CO2 Emission by Sector,1991,253.9515296038588,01_AUS
2.1 Transformation Sector,1991,145.1424712216877,01_AUS
2.1.1 Main Activity Producer,1991,131.26649804684908,01_AUS
2.1.2 Autoproducers,1991,0.0,01_AUS
2.1.3 Gas Processing,1991,4.397653622934322,01_AUS
2.1.4 Loss & Own Use,1991,9.478319551904285,01_AUS
,1991,,01_AUS
2.2 Final Energy Consumption Sector,1991,108.80905838217105,01_AUS
2.2.1 Industry Sector,1991,36.31484179238153,01_AUS
2.2.2 Transport Sector,1991,58.93206447366709,01_AUS
2.2.3 Residential & Commercial,1991,9.687340534685983,01_AUS
2.2.4 Other,1991,3.874811581436451,01_AUS
Total CO2 Emission,1992,258.19681550227847,01_AUS
,1992,,01_AUS
1. CO2 Emission by Energy,1992,258.19681550227847,01_AUS
1.1 Coal & Coal Products,1992,139.9639888410973,01_AUS
1.2 Crude Oil & Petroleum Products,1992,85.35319853633888,01_AUS
1.3 Gas,1992,32.87962812484236,01_AUS
,1992,,01_AUS
2. CO2 Emission by Sector,1992,258.1968155022784,01_AUS
2.1 Transformation Sector,1992,148.4531967514297,01_AUS
2.1.1 Main Activity Producer,1992,134.11556597250257,01_AUS
2.1.2 Autoproducers,1992,0.0,01_AUS
2.1.3 Gas Processing,1992,4.683095821952593,01_AUS
2.1.4 Loss & Own Use,1992,9.654534956974539,01_AUS
,1992,,01_AUS
2.2 Final Energy Consumption Sector,1992,109.74361875084875,01_AUS
2.2.1 Industry Sector,1992,35.94045926133738,01_AUS
2.2.2 Transport Sector,1992,59.819501405965674,01_AUS
2.2.3 Residential & Commercial,1992,10.002695646595354,01_AUS
2.2.4 Other,1992,3.9809624369503833,01_AUS
Total CO2 Emission,1993,262.40084184937496,01_AUS
,1993,,01_AUS
1. CO2 Emission by Energy,1993,262.40084184937496,01_AUS
1.1 Coal & Coal Products,1993,140.16761263462686,01_AUS
1.2 Crude Oil & Petroleum Products,1993,87.69923562534215,01_AUS
1.3 Gas,1993,34.533993589405895,01_AUS
,1993,,01_AUS
2. CO2 Emission by Sector,1993,262.40084184937496,01_AUS
2.1 Transformation Sector,1993,150.17252888048415,01_AUS
2.1.1 Main Activity Producer,1993,135.02419850222603,01_AUS
2.1.2 Autoproducers,1993,0.0,01_AUS
2.1.3 Gas Processing,1993,5.325242153041091,01_AUS
2.1.4 Loss & Own Use,1993,9.823088225217003,01_AUS
,1993,,01_AUS
2.2 Final Energy Consumption Sector,1993,112.22831296889076,01_AUS
2.2.1 Industry Sector,1993,36.530665719171274,01_AUS
2.2.2 Transport Sector,1993,61.252535619503476,01_AUS
2.2.3 Residential & Commercial,1993,10.338408326080947,01_AUS
2.2.4 Other,1993,4.1067033041350625,01_AUS
Total CO2 Emission,1994,265.4364945372939,01_AUS
,1994,,01_AUS
1. CO2 Emission by Energy,1994,265.4364945372939,01_AUS
1.1 Coal & Coal Products,1994,140.3462969565684,01_AUS
1.2 Crude Oil & Petroleum Products,1994,89.2435402044368,01_AUS
1.3 Gas,1994,35.846657376288675,01_AUS
,1994,,01_AUS
2. CO2 Emission by Sector,1994,265.43649453729387,01_AUS
2.1 Transformation Sector,1994,151.02960951684682,01_AUS
2.1.1 Main Activity Producer,1994,136.5972292575151,01_AUS
2.1.2 Autoproducers,1994,0.0,01_AUS
2.1.3 Gas Processing,1994,5.453111472155684,01_AUS
2.1.4 Loss & Own Use,1994,8.979268787176043,01_AUS
,1994,,01_AUS
2.2 Final Energy Consumption Sector,1994,114.40688502044704,01_AUS
2.2.1 Industry Sector,1994,37.318117746396425,01_AUS
2.2.2 Transport Sector,1994,62.63652884224404,01_AUS
2.2.3 Residential & Commercial,1994,10.15461000978545,01_AUS
2.2.4 Other,1994,4.2976284220211225,01_AUS
Total CO2 Emission,1995,276.0069207064568,01_AUS
,1995,,01_AUS
1. CO2 Emission by Energy,1995,276.0069207064568,01_AUS
1.1 Coal & Coal Products,1995,144.38706613872873,01_AUS
1.2 Crude Oil & Petroleum Products,1995,93.42417500803217,01_AUS
1.3 Gas,1995,38.195679559695925,01_AUS
,1995,,01_AUS
2. CO2 Emission by Sector,1995,276.0069207064568,01_AUS
2.1 Transformation Sector,1995,156.58696747532733,01_AUS
2.1.1 Main Activity Producer,1995,142.1968248936342,01_AUS
2.1.2 Autoproducers,1995,0.0,01_AUS
2.1.3 Gas Processing,1995,6.00527647511939,01_AUS
2.1.4 Loss & Own Use,1995,8.38486610657374,01_AUS
,1995,,01_AUS
2.2 Final Energy Consumption Sector,1995,119.41995323112953,01_AUS
2.2.1 Industry Sector,1995,38.3009313921163,01_AUS
2.2.2 Transport Sector,1995,65.82493594677082,01_AUS
2.2.3 Residential & Commercial,1995,10.754420737695337,01_AUS
2.2.4 Other,1995,4.53966515454704,01_AUS
Total CO2 Emission,1996,283.1439159693264,01_AUS
,1996,,01_AUS
1. CO2 Emission by Energy,1996,283.1439159693264,01_AUS
1.1 Coal & Coal Products,1996,149.0536289639057,01_AUS
1.2 Crude Oil & Petroleum Products,1996,95.79738466500626,01_AUS
1.3 Gas,1996,38.29290234041436,01_AUS
,1996,,01_AUS
2. CO2 Emission by Sector,1996,283.1439159693263,01_AUS
2.1 Transformation Sector,1996,161.38849766294626,01_AUS
2.1.1 Main Activity Producer,1996,147.21319908475215,01_AUS
2.1.2 Autoproducers,1996,0.0,01_AUS
2.1.3 Gas Processing,1996,6.382657194096381,01_AUS
2.1.4 Loss & Own Use,1996,7.792641384097752,01_AUS
,1996,,01_AUS
2.2 Final Energy Consumption Sector,1996,121.75541830638005,01_AUS
2.2.1 Industry Sector,1996,38.35646391707139,01_AUS
2.2.2 Transport Sector,1996,67.61081992601605,01_AUS
2.2.3 Residential & Commercial,1996,11.156839789047634,01_AUS
2.2.4 Other,1996,4.631294674244973,01_AUS
Total CO2 Emission,1997,291.38502280926497,01_AUS
,1997,,01_AUS
1. CO2 Emission by Energy,1997,291.38502280926497,01_AUS
1.1 Coal & Coal Products,1997,156.35717566655774,01_AUS
1.2 Crude Oil & Petroleum Products,1997,95.50827531071072,01_AUS
1.3 Gas,1997,39.51957183199654,01_AUS
,1997,,01_AUS
2. CO2 Emission by Sector,1997,291.38502280926497,01_AUS
2.1 Transformation Sector,1997,167.87768042377377,01_AUS
2.1.1 Main Activity Producer,1997,152.19298492193437,01_AUS
2.1.2 Autoproducers,1997,0.0,01_AUS
2.1.3 Gas Processing,1997,6.813055997128888,01_AUS
2.1.4 Loss & Own Use,1997,8.871639504710508,01_AUS
,1997,,01_AUS
2.2 Final Energy Consumption Sector,1997,123.50734238549114,01_AUS
2.2.1 Industry Sector,1997,38.583115579876825,01_AUS
2.2.2 Transport Sector,1997,68.83503266993748,01_AUS
2.2.3 Residential & Commercial,1997,11.253329336721682,01_AUS
2.2.4 Other,1997,4.835864798955193,01_AUS
Total CO2 Emission,1998,304.3901474593355,01_AUS
,1998,,01_AUS
1. CO2 Emission by Energy,1998,304.3901474593355,01_AUS
1.1 Coal & Coal Products,1998,166.65396082547772,01_AUS
1.2 Crude Oil & Petroleum Products,1998,95.97014963901667,01_AUS
1.3 Gas,1998,41.766036994841166,01_AUS
,1998,,01_AUS
2. CO2 Emission by Sector,1998,304.3901474593356,01_AUS
2.1 Transformation Sector,1998,180.25206056498797,01_AUS
2.1.1 Main Activity Producer,1998,164.72445122576005,01_AUS
2.1.2 Autoproducers,1998,0.0,01_AUS
2.1.3 Gas Processing,1998,7.296480518169887,01_AUS
2.1.4 Loss & Own Use,1998,8.23112882105805,01_AUS
,1998,,01_AUS
2.2 Final Energy Consumption Sector,1998,124.13808689434761,01_AUS
2.2.1 Industry Sector,1998,38.86385673996494,01_AUS
2.2.2 Transport Sector,1998,68.94642936301524,01_AUS
2.2.3 Residential & Commercial,1998,11.50614544404941,01_AUS
2.2.4 Other,1998,4.821655347317965,01_AUS
Total CO2 Emission,1999,312.66616963895757,01_AUS
,1999,,01_AUS
1. CO2 Emission by Energy,1999,312.66616963895757,01_AUS
1.1 Coal & Coal Products,1999,171.69984257284435,01_AUS
1.2 Crude Oil & Petroleum Products,1999,97.15665075272305,01_AUS
1.3 Gas,1999,43.80967631339018,01_AUS
,1999,,01_AUS
2. CO2 Emission by Sector,1999,312.66616963895757,01_AUS
2.1 Transformation Sector,1999,187.47989790058313,01_AUS
2.1.1 Main Activity Producer,1999,170.9563745015884,01_AUS
2.1.2 Autoproducers,1999,0.0,01_AUS
2.1.3 Gas Processing,1999,7.117528794436411,01_AUS
2.1.4 Loss & Own Use,1999,9.405994604558334,01_AUS
,1999,,01_AUS
2.2 Final Energy Consumption Sector,1999,125.18627173837444,01_AUS
2.2.1 Industry Sector,1999,39.11777680433874,01_AUS
2.2.2 Transport Sector,1999,69.6681839101342,01_AUS
2.2.3 Residential & Commercial,1999,11.510219863733541,01_AUS
2.2.4 Other,1999,4.89009116016794,01_AUS
Total CO2 Emission,2000,318.46118318988465,01_AUS
,2000,,01_AUS
1. CO2 Emission by Energy,2000,318.46118318988465,01_AUS
1.1 Coal & Coal Products,2000,174.85826275527884,01_AUS
1.2 Crude Oil & Petroleum Products,2000,98.97745739541583,01_AUS
1.3 Gas,2000,44.62546303918995,01_AUS
,2000,,01_AUS
2. CO2 Emission by Sector,2000,318.46118318988465,01_AUS
2.1 Transformation Sector,2000,190.31829637322448,01_AUS
2.1.1 Main Activity Producer,2000,174.6477981249242,01_AUS
2.1.2 Autoproducers,2000,0.0,01_AUS
2.1.3 Gas Processing,2000,7.384474377065643,01_AUS
2.1.4 Loss & Own Use,2000,8.286023871234645,01_AUS
,2000,,01_AUS
2.2 Final Energy Consumption Sector,2000,128.1428868166601,01_AUS
2.2.1 Industry Sector,2000,40.01962630499903,01_AUS
2.2.2 Transport Sector,2000,71.18256293068099,01_AUS
2.2.3 Residential & Commercial,2000,11.90422134106172,01_AUS
2.2.4 Other,2000,5.0364762399183896,01_AUS
Total CO2 Emission,2001,325.97214765568714,01_AUS
,2001,,01_AUS
1. CO2 Emission by Energy,2001,325.97214765568714,01_AUS
1.1 Coal & Coal Products,2001,179.84289247165285,01_AUS
1.2 Crude Oil & Petroleum Products,2001,99.04336551210591,01_AUS
1.3 Gas,2001,47.085889671928285,01_AUS
,2001,,01_AUS
2. CO2 Emission by Sector,2001,325.9721476556872,01_AUS
2.1 Transformation Sector,2001,197.60933055826675,01_AUS
2.1.1 Main Activity Producer,2001,181.8259398713664,01_AUS
2.1.2 Autoproducers,2001,0.0,01_AUS
2.1.3 Gas Processing,2001,7.494620841333116,01_AUS
2.1.4 Loss & Own Use,2001,8.288769845567233,01_AUS
,2001,,01_AUS
2.2 Final Energy Consumption Sector,2001,128.36281709742042,01_AUS
2.2.1 Industry Sector,2001,39.5427082025133,01_AUS
2.2.2 Transport Sector,2001,71.01678666620053,01_AUS
2.2.3 Residential & Commercial,2001,11.763427641577799,01_AUS
2.2.4 Other,2001,6.039894587128744,01_AUS
Total CO2 Emission,2002,330.5118744732376,01_AUS
,2002,,01_AUS
1. CO2 Emission by Energy,2002,330.5118744732376,01_AUS
1.1 Coal & Coal Products,2002,181.13510731590705,01_AUS
1.2 Crude Oil & Petroleum Products,2002,100.87045166698502,01_AUS
1.3 Gas,2002,48.506315490345436,01_AUS
,2002,,01_AUS
2. CO2 Emission by Sector,2002,330.51187447323747,01_AUS
2.1 Transformation Sector,2002,199.78260464801068,01_AUS
